Item Code,Part Code,Old Item Code,Item Name,Category,Material Process Sources,Preferred Vendors,Preferred Vendor Names,Unit,Purchase UOM,Conversion Factor,In-House Stock,External Stock,Min Stock Qty,Min Order Qty,Unit Price,Lead Time in Days,Location,QC Trigger,Test Report Required,Weight (Kg),Specification
7910300100,7910300100,,ANTI VIBRATION RUBBER PAD - Ø125,BO,Bought out,VEN0000011,Kabra Extrusion & Machine Tools,NOS,NOS,1,10,0,5,1,2500,10,Central Store,ON_GRN,TRUE,1.5,Standard BO specification for ANTI VIBRATION RUBBER PAD - Ø125
6160100800,6160100800,,DIRECTION CONTROL VALVE - 4 WEH 16 E7,BO,Bought out,VEN0000008,Yuken India Hydraulics Pvt Ltd,NOS,NOS,1,10,0,5,1,14500,12,Hydraulics Bay H-01,ON_GRN,TRUE,1.5,Standard BO specification for DIRECTION CONTROL VALVE - 4 WEH 16 E7
6160101000,6160101000,,DIRECTION CONTROL VALVE - 4 WEH 16 EA,BO,Bought out,VEN0000008,Yuken India Hydraulics Pvt Ltd,NOS,NOS,1,10,0,5,1,14500,12,Hydraulics Bay H-01,ON_GRN,TRUE,1.5,Standard BO specification for DIRECTION CONTROL VALVE - 4 WEH 16 EA
6160100900,6160100900,,DIRECTION CONTROL VALVE - 4 WEH 16 L7,BO,Bought out,VEN0000008,Yuken India Hydraulics Pvt Ltd,NOS,NOS,1,10,0,5,1,14500,12,Hydraulics Bay H-01,ON_GRN,TRUE,1.5,Standard BO specification for DIRECTION CONTROL VALVE - 4 WEH 16 L7
6160100300,6160100300,,DSG-01-2B2B-D24 (YUKEN),BO,Bought out,VEN0000008,Yuken India Hydraulics Pvt Ltd,NOS,NOS,1,10,0,5,1,14500,12,Hydraulics Bay H-01,ON_GRN,TRUE,1.5,Standard BO specification for DSG-01-2B2B-D24 (YUKEN)
6160100100,6160100100,D-10001,DSG-01-3C2-D24 (YUKEN),BO,Bought out,VEN0000008,Yuken India Hydraulics Pvt Ltd,NOS,NOS,1,10,0,5,1,14500,12,Hydraulics Bay H-01,ON_GRN,TRUE,1.5,Standard BO specification for DSG-01-3C2-D24 (YUKEN)
6160100200,6160100200,D-10002,DSG-01-3C4-D24 (YUKEN),BO,Bought out,VEN0000008,Yuken India Hydraulics Pvt Ltd,NOS,NOS,1,10,0,5,1,14500,12,Hydraulics Bay H-01,ON_GRN,TRUE,1.5,Standard BO specification for DSG-01-3C4-D24 (YUKEN)
6160100700,6160100700,,DSG-03-2B10B-D24 (YUKEN),BO,Bought out,VEN0000008,Yuken India Hydraulics Pvt Ltd,NOS,NOS,1,10,0,5,1,14500,12,Hydraulics Bay H-01,ON_GRN,TRUE,1.5,Standard BO specification for DSG-03-2B10B-D24 (YUKEN)
6160100600,6160100600,D-10006,DSG-03-3C12-D24 (YUKEN),BO,Bought out,VEN0000008,Yuken India Hydraulics Pvt Ltd,NOS,NOS,1,10,0,5,1,14500,12,Hydraulics Bay H-01,ON_GRN,TRUE,1.5,Standard BO specification for DSG-03-3C12-D24 (YUKEN)
6160100400,6160100400,D-10003,DSG-03-3C2-D24 (YUKEN),BO,Bought out,VEN0000008,Yuken India Hydraulics Pvt Ltd,NOS,NOS,1,10,0,5,1,14500,12,Hydraulics Bay H-01,ON_GRN,TRUE,1.5,Standard BO specification for DSG-03-3C2-D24 (YUKEN)
